Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1987,1987,t,1761200,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1988,1988,t,2577600,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1989,1989,t,2991700,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1990,1990,t,3124500,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1991,1991,t,3321213,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1992,1992,t,2843774,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1993,1993,t,2669300,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1994,1994,t,2931700,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1995,1995,t,2897533,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1996,1996,t,2978978,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1997,1997,t,3913600,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1998,1998,t,4112200,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1999,1999,t,4796250,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2000,2000,t,4214600,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2001,2001,t,4365119,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2002,2002,t,4029134,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2003,2003,t,4131912,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2004,2004,t,4633145,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2005,2005,t,5209967,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2006,2006,t,5550200,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2007,2007,t,5518072,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2008,2008,t,6051820,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2009,2009,t,7249010,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2010,2010,t,8195773,A,Official figure,Official data from questionnaire
